TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%),Primera Eliminación,GameID,GameStartTime,FightingStartTime,FinishedStartTime,ExportedAt
16,CP9 ESPORTS,1,546063980,CP9Shaggy,66,2,275,94,4,1,0,72,92,23m 34s,0m 18s,52,0,0,6875,1820,1,1,7,0,0,0,692,0,8,0,2,3,1.01004101003102E+023,"M416,SCAR-L,PP19,UMP45",M416:145.7 / SCAR-L:0.0 / PP19:0.0 / UMP45:114.8,M416:1 / SCAR-L:0 / PP19:0 / UMP45:1,M416:139 / SCAR-L:0 / PP19:0 / UMP45:45,M416:8 / SCAR-L:0 / PP19:0 / UMP45:5,184,13,7.07,,2.37931E+018,1771375948 (2026-02-17 18:52:28),1771376008 (2026-02-17 18:53:28),0 (N/A),1771377296 (2026-02-17 19:14:56)
16,CP9 ESPORTS,1,514833515,CP9Triggaa,10,2,251,49,2,0,0,149,49,23m 34s,0m 0s,0,0,2,7166,1961,0,1,3,0,0,0,692,0,1,1,0,3,1.01004102002104E+017,"M416,UMP45,S12K",M416:84.2 / UMP45:0.0 / S12K:0.0,M416:0 / UMP45:0 / S12K:0,M416:97 / UMP45:0 / S12K:0,M416:5 / UMP45:0 / S12K:0,97,5,5.15,,,,,,
16,CP9 ESPORTS,1,61225024321,CP9ICEzz,22,3,150,45,0,2,0,236,170,23m 34s,0m 1s,22,0,0,4838,1770,0,3,2,0,1,0,692,0,4,0,0,2,101004104004,"M416,DBS",M416:129.2 / DBS:0.0,M416:3 / DBS:0,M416:80 / DBS:0,M416:6 / DBS:0,80,6,7.5,,,,,,
16,CP9 ESPORTS,1,5629396744,CP9ValkyM,100,1,16,34,0,0,0,188,0,16m 57s,0m 0s,0,0,0,5000,1363,0,0,0,0,0,0,692,0,0,0,0,1,1.01004101006104E+017,"M416,AUG A3,DBS",M416:17.9 / AUG A3:0.0 / DBS:0.0,M416:1 / AUG A3:0 / DBS:0,M416:27 / AUG A3:0 / DBS:0,M416:1 / AUG A3:0 / DBS:0,27,1,3.7,,,,,,
6,TOP ESPORTS,2,5294974509,zkeBolillo,0,0,192,0,0,0,0,99,0,23m 34s,0m 0s,0,0,0,6615,1530,0,0,4,0,0,0,570,1,4,0,1,3,1.01004101002104E+023,"M416,M16A4,S1897,Dual MP7",M416:191.6 / M16A4:0.0 / S1897:0.0 / Dual MP7:0.0,M416:0 / M16A4:0 / S1897:0 / Dual MP7:0,M416:231 / M16A4:19 / S1897:0 / Dual MP7:2,M416:9 / M16A4:0 / S1897:0 / Dual MP7:0,252,9,3.57,,,,,,
6,TOP ESPORTS,2,560769498,zkeūMiauuu57,0,0,57,0,0,0,0,106,80,23m 34s,0m 19s,14,0,0,12786,1650,0,6,3,0,0,0,570,0,4,0,0,0,1.01004101007104E+029,"M416,QBZ,S12K,UZI,DBS",M416:20.7 / QBZ:0.0 / S12K:36.1 / UZI:0.0 / DBS:0.0,M416:0 / QBZ:0 / S12K:0 / UZI:0 / DBS:0,M416:138 / QBZ:0 / S12K:13 / UZI:0 / DBS:0,M416:1 / QBZ:0 / S12K:3 / UZI:0 / DBS:0,151,4,2.65,,,,,,
6,TOP ESPORTS,2,512936539,zkeBEAN,0,0,123,0,0,1,0,223,151,23m 34s,0m 19s,13,0,0,10641,1717,0,2,1,0,0,0,570,0,6,0,1,0,101006102005,"AUG A3,PP19",AUG A3:93.0 / PP19:30.3,AUG A3:0 / PP19:0,AUG A3:240 / PP19:71,AUG A3:5 / PP19:2,311,7,2.25,,,,,,
6,TOP ESPORTS,2,5980701975,zkeLcJsi,0,1,198,2,0,1,0,192,0,4m 1s,0m 0s,0,0,0,993,458,0,0,0,0,0,0,570,0,4,0,0,2,101002,M16A4,M16A4:200.8,M16A4:1,M16A4:18,M16A4:6,18,6,33.33,,,,,,
3,AMG ESPORTS,3,5764431540,AMGxSINCE,0,1,247,32,3,1,0,274,139,21m 9s,0m 2s,9,0,1,12218,848,0,0,1,0,0,0,1186,1,6,1,0,2,101001101004,"AKM,M416",AKM:80.4 / M416:155.5,AKM:0 / M416:0,AKM:20 / M416:154,AKM:2 / M416:8,174,10,5.75,,,,,,
3,AMG ESPORTS,3,5900003499,AMGxTOGEPI27,0,1,206,20,3,0,0,121,41,21m 9s,0m 5s,19,0,0,10313,1316,2,0,0,0,0,0,1186,0,10,0,1,3,101004104003,"M416,S12K",M416:157.1 / S12K:48.8,M416:0 / S12K:1,M416:190 / S12K:13,M416:8 / S12K:6,203,14,6.9,,,,,,
3,AMG ESPORTS,3,560418600,AMGxPADILHEX,0,1,129,41,1,1,0,100,9,21m 10s,0m 0s,0,0,0,7929,1578,0,0,1,0,0,0,1186,1,4,0,1,1,1.01004104003107E+017,"M416,S12K,Arma 107010",M416:112.1 / S12K:25.2 / Arma 107010:0.0,M416:1 / S12K:0 / Arma 107010:0,M416:147 / S12K:8 / Arma 107010:2,M416:4 / S12K:3 / Arma 107010:0,157,7,4.46,,,,,,
3,AMG ESPORTS,3,534066427,AMGxPEDRINHO1y,0,6,604,299,2,4,1,179,65,21m 3s,1m 8s,64,1,0,12975,1139,0,0,0,0,0,0,1186,2,17,1,0,7,1.01004105010104E+017,"M416,MG3,S12K",M416:255.7 / MG3:340.0 / S12K:0.0,M416:1 / MG3:4 / S12K:0,M416:110 / MG3:132 / S12K:0,M416:11 / MG3:16 / S12K:0,242,27,11.16,,,,,,
10,VIP ESPORTS,4,522271617,vipDAAAVID,0,3,337,190,0,1,2,148,285,20m 52s,6m 28s,236,0,0,9902,1361,1,0,3,0,0,0,2154,3,8,2,0,7,1.04004101004101E+017,"DBS,M416,ASM Abakan",DBS:174.6 / M416:186.9 / ASM Abakan:0.0,DBS:1 / M416:2 / ASM Abakan:0,DBS:15 / M416:63 / ASM Abakan:0,DBS:15 / M416:5 / ASM Abakan:0,78,20,25.64,,,,,,
10,VIP ESPORTS,4,5952802097,vipKidies,0,7,798,174,1,5,0,221,359,20m 52s,6m 27s,236,0,2,9945,1606,0,2,2,0,0,0,2154,2,20,0,2,8,1.01003102002104E+023,"SCAR-L,UMP45,S12K,S1897",SCAR-L:168.8 / UMP45:281.1 / S12K:39.4 / S1897:235.3,SCAR-L:3 / UMP45:1 / S12K:0 / S1897:1,SCAR-L:87 / UMP45:43 / S12K:6 / S1897:11,SCAR-L:9 / UMP45:8 / S12K:4 / S1897:11,147,32,21.77,,,,,,
10,VIP ESPORTS,4,5356124437,vipN007,0,0,206,0,3,0,0,315,391,20m 52s,6m 25s,250,0,0,9777,1367,0,3,0,0,0,1,2154,0,3,0,0,4,1.01006104002104E+017,"AUG A3,S1897,S12K",AUG A3:90.7 / S1897:0.0 / S12K:29.0,AUG A3:0 / S1897:0 / S12K:0,AUG A3:65 / S1897:2 / S12K:10,AUG A3:4 / S1897:0 / S12K:3,77,7,9.09,,,,,,
10,VIP ESPORTS,4,516857885,vipAMG18,0,5,813,374,0,6,2,98,223,20m 52s,5m 21s,221,0,0,6559,1920,0,1,0,0,0,0,2154,7,21,2,4,12,1.04004101003101E+029,"DBS,SCAR-L,M762,Mk47 Mutant,Mortar",DBS:157.1 / SCAR-L:668.2 / M762:119.0 / Mk47 Mutant:0.0 / Mortar:0.0,DBS:0 / SCAR-L:3 / M762:1 / Mk47 Mutant:0 / Mortar:0,DBS:15 / SCAR-L:247 / M762:19 / Mk47 Mutant:0 / Mortar:0,DBS:15 / SCAR-L:28 / M762:3 / Mk47 Mutant:0 / Mortar:0,281,46,16.37,,,,,,
4,OTB ESPORTS,5,5690156496,bestDaddyYT,0,0,116,0,0,0,0,76,421,20m 20s,2m 41s,420,0,0,4943,1600,0,0,0,0,0,0,116,0,5,0,1,1,1.01003101101104E+023,"SCAR-L,ASM Abakan,S1897,P1911",SCAR-L:115.1 / ASM Abakan:0.0 / S1897:0.0 / P1911:0.0,SCAR-L:0 / ASM Abakan:0 / S1897:0 / P1911:0,SCAR-L:36 / ASM Abakan:0 / S1897:0 / P1911:0,SCAR-L:7 / ASM Abakan:0 / S1897:0 / P1911:0,36,7,19.44,,,,,,
4,OTB ESPORTS,5,5242103421,bestLifeee,0,0,0,0,0,0,0,159,69,10m 0s,2m 39s,94,0,0,3420,1002,0,0,0,0,0,0,116,0,0,0,0,0,101003102002,"SCAR-L,UMP45",SCAR-L:0.0 / UMP45:0.0,SCAR-L:0 / UMP45:0,SCAR-L:0 / UMP45:0,SCAR-L:0 / UMP45:0,0,0,0,,,,,,
