TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%),Primera Eliminación,GameID,GameStartTime,FightingStartTime,FinishedStartTime,ExportedAt
11,ROW ESPORTS,1,5110090202,RoWـVetao44,93,3,266,157,1,1,0,289,282,20m 28s,0m 3s,0,0,0,4616,1609,1,2,1,0,0,0,1914,0,4,0,1,1,1.02002101102101E+023,"UMP45,ACE32,QBZ,M416",UMP45:136.9 / ACE32:0.0 / QBZ:0.0 / M416:0.0,UMP45:1 / ACE32:0 / QBZ:0 / M416:0,UMP45:25 / ACE32:0 / QBZ:12 / M416:0,UMP45:6 / ACE32:0 / QBZ:0 / M416:0,37,6,16.22,,2.38E+018,1771379950 (2026-02-17 19:59:10),1771380010 (2026-02-17 20:00:10),0 (N/A),1771381136 (2026-02-17 20:18:56)
11,ROW ESPORTS,1,51576123805,RoWـLenen3333,100,3,724,145,1,3,3,673,384,19m 36s,1m 11s,68,0,0,7635,1405,1,1,1,0,0,0,1914,18,16,3,0,4,1.04004101007101E+017,"DBS,QBZ,M416",DBS:447.9 / QBZ:83.7 / M416:84.2,DBS:3 / QBZ:0 / M416:1,DBS:35 / QBZ:126 / M416:42,DBS:35 / QBZ:3 / M416:3,203,41,20.2,,,,,,
11,ROW ESPORTS,1,5868876384,RoWـRaw,100,2,287,157,0,3,1,490,299,19m 24s,1m 30s,101,0,0,6680,1260,0,3,1,0,0,0,1914,0,11,1,3,7,1.01004104004103E+023,"M416,DBS,Mini14,M249",M416:132.8 / DBS:140.7 / Mini14:0.0 / M249:0.0,M416:1 / DBS:0 / Mini14:0 / M249:0,M416:139 / DBS:15 / Mini14:9 / M249:0,M416:7 / DBS:15 / Mini14:0 / M249:0,163,22,13.5,,,,,,
11,ROW ESPORTS,1,51829519616,RoWـDexter,100,2,637,95,0,3,0,263,15,18m 25s,1m 35s,0,0,0,5595,1513,0,1,0,0,0,0,1914,3,11,0,0,6,1.01003104003104E+017,"SCAR-L,S12K,S1897",SCAR-L:292.2 / S12K:138.6 / S1897:0.0,SCAR-L:1 / S12K:1 / S1897:0,SCAR-L:156 / S12K:18 / S1897:0,SCAR-L:8 / S12K:12 / S1897:0,174,20,11.49,,,,,,
17,GAME ON ESPORTS,2,519544059,GO・HAATE99,0,4,615,149,2,3,0,217,160,20m 28s,1m 29s,37,0,1,11078,1292,0,0,3,0,0,0,2003,1,0,2,0,0,1.01006104003107E+017,"AUG A3,S12K,Mortar",AUG A3:83.7 / S12K:0.0 / Mortar:0.0,AUG A3:0 / S12K:0 / Mortar:0,AUG A3:85 / S12K:0 / Mortar:0,AUG A3:3 / S12K:0 / Mortar:0,85,3,3.53,,,,,,
17,GAME ON ESPORTS,2,5769814257,GO・ALANZIN,0,3,738,193,1,2,0,384,209,19m 37s,0m 58s,97,0,0,7397,832,2,3,0,0,0,0,2003,4,11,1,1,4,1.01004101001104E+017,"M416,AKM,DBS",M416:536.6 / AKM:0.0 / DBS:15.8,M416:2 / AKM:0 / DBS:1,M416:177 / AKM:0 / DBS:6,M416:19 / AKM:0 / DBS:2,183,21,11.48,,,,,,
17,GAME ON ESPORTS,2,5716423674,GO・444,0,3,355,358,1,2,1,177,47,19m 29s,1m 31s,47,0,0,5214,1555,0,4,1,0,0,0,2003,0,3,0,0,0,101001,AKM,AKM:89.9,AKM:0,AKM:8,AKM:3,8,3,37.5,,,,,,
17,GAME ON ESPORTS,2,5215516021,GO・JOACO21M,0,1,295,84,0,1,1,300,113,16m 35s,0m 23s,0,0,0,8113,1211,0,1,0,2,0,1,2003,2,4,1,0,2,1.02105101003104E+029,"P90,SCAR-L,DBS,M416,S1897",P90:157.5 / SCAR-L:0.0 / DBS:0.0 / M416:76.2 / S1897:0.0,P90:2 / SCAR-L:0 / DBS:0 / M416:0 / S1897:0,P90:52 / SCAR-L:14 / DBS:0 / M416:39 / S1897:0,P90:7 / SCAR-L:0 / DBS:0 / M416:2 / S1897:0,105,9,8.57,,,,,,
10,VIP ESPORTS,3,522271617,vipDAAAVID,0,3,335,233,0,2,1,316,408,20m 26s,3m 27s,191,0,0,5740,1141,2,5,0,0,0,0,1066,3,8,2,0,7,1.04004101004101E+017,"DBS,M416,ASM Abakan",DBS:174.6 / M416:186.9 / ASM Abakan:0.0,DBS:1 / M416:2 / ASM Abakan:0,DBS:15 / M416:63 / ASM Abakan:0,DBS:15 / M416:5 / ASM Abakan:0,78,20,25.64,,,,,,
10,VIP ESPORTS,3,516857885,vipAMG18,0,1,329,247,1,1,0,175,144,19m 16s,4m 15s,138,0,0,7075,1225,1,2,3,0,0,0,1066,7,21,2,4,12,1.04004101003101E+029,"DBS,SCAR-L,M762,Mk47 Mutant,Mortar",DBS:157.1 / SCAR-L:668.2 / M762:119.0 / Mk47 Mutant:0.0 / Mortar:0.0,DBS:0 / SCAR-L:3 / M762:1 / Mk47 Mutant:0 / Mortar:0,DBS:15 / SCAR-L:247 / M762:19 / Mk47 Mutant:0 / Mortar:0,DBS:15 / SCAR-L:28 / M762:3 / Mk47 Mutant:0 / Mortar:0,281,46,16.37,,,,,,
